"Дата","Название","ИНН","Адрес","Сайт","Признаки, установленные Банком России","Деятельность прекращена","Дополнительно"
2022-01-19,"Alambs",,,"alambs.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-19,"ALFAFUNDSLIMITED, Alpha Funds Limited",,,"alphafundslimited.com","Признаки ""финансовой пирамиды""",0,
2022-01-19,"Citicglobal.com",,,"citicglobal.com","Признаки ""финансовой пирамиды""",0,
2022-01-19,"Just Stock",,,"js.cfd","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-19,"Kopilka.space, Копилка",,,"kopilka.space","Признаки ""финансовой пирамиды""",0,
2022-01-19,"LIMAN",,,"liman.fun","Признаки ""финансовой пирамиды""",0,
2022-01-19,"Mining cash",,,"miningcash.ru","Признаки ""финансовой пирамиды""",0,
2022-01-19,"Nash Markets LLC",,,"nashmarkets.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-19,"NEVIRAMS",,,"nevirams.me","Признаки ""финансовой пирамиды""",0,
2022-01-19,"PLEXECOM LLC, CELOX, Celox Live, Селокс, Celoxlivebroker",,,"www.celox.live, webtrader.celox.live","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-19,"PROFIT-SISTEM, PROFIT-SISTEM LIMITED",,,"profit-sistem.com","Признаки ""финансовой пирамиды""",0,
2022-01-19,"RIVIAN Limited, RIVIAN",,,"rivian.bond, www.rivian.bond","Признаки ""финансовой пирамиды""",0,
2022-01-19,"Rublik-bot.ru",,,"rublik-bot.ru","Признаки ""финансовой пирамиды""",0,
2022-01-19,"Senexa",,,"senexa.biz, senexa.online, senexa.info, senexa.net, senexa.club, senexa.pro, www.senexa.net, senexarussia.ru, senexa.ru, www.senexa.biz","Признаки ""финансовой пирамиды""",0,
2022-01-19,"Traderbit",,,"traderbit.cc","Признаки ""финансовой пирамиды""",0,
2022-01-19,"Xelius.me",,,"xelius.me","Признаки ""финансовой пирамиды""",0,
